ID,oldID,fecha,intensidad,ocupacion,vmed,periodo_integracion,KM,densidad,Hora
3820,PM10561,2015-08-04 06:15,1007.0,3.0,92.0,15,5.6,10.945652173913043,6.15
6641,PM10021,2015-08-04 06:15,0.0,0.0,0.0,15,0.2,,6.15
6648,PM10241,2015-08-04 06:15,684.0,1.0,98.0,15,2.4,6.979591836734694,6.15
6650,PM10341,2015-08-04 06:15,784.0,2.0,91.0,15,3.4,8.615384615384615,6.15
3818,PM10501,2015-08-04 06:15,724.0,1.0,91.0,15,5.0,7.956043956043956,6.15
6672,PM10941,2015-08-04 06:15,804.0,1.0,92.0,15,9.4,8.73913043478261,6.15
6679,PM11071,2015-08-04 06:15,1364.0,2.0,94.0,15,10.7,14.51063829787234,6.15
6680,PM11101,2015-08-04 06:15,723.0,2.0,84.0,15,11.0,8.607142857142858,6.15
6683,PM11161,2015-08-04 06:15,904.0,1.0,89.0,15,11.6,10.157303370786517,6.15
6687,PM11301,2015-08-04 06:15,545.0,1.0,83.0,15,13.0,6.566265060240964,6.15
6690,PM12061,2015-08-04 06:15,1004.0,2.0,84.0,15,20.6,11.952380952380953,6.15
6691,PM12121,2015-08-04 06:15,893.0,1.0,86.0,15,21.2,10.383720930232558,6.15
6692,PM12211,2015-08-04 06:15,821.0,1.0,88.0,15,22.1,9.329545454545455,6.15
6694,PM12331,2015-08-04 06:15,500.0,1.0,82.0,15,23.3,6.097560975609756,6.15
6696,PM12471,2015-08-04 06:15,461.0,1.0,87.0,15,24.7,5.2988505747126435,6.15
6698,PM12571,2015-08-04 06:15,180.0,1.0,69.0,15,25.7,2.608695652173913,6.15
3801,PM12781,2015-08-04 06:15,240.0,1.0,98.0,15,27.8,2.4489795918367347,6.15
6702,PM12921,2015-08-04 06:15,276.0,2.0,54.0,15,29.2,5.111111111111111,6.15
3510,PM12961,2015-08-04 06:15,280.0,1.0,56.0,15,29.6,5.0,6.15
6706,PM13041,2015-08-04 06:15,209.0,2.0,72.0,15,30.4,2.9027777777777777,6.15
7013,PM13221,2015-08-04 06:15,93.0,3.0,60.0,15,32.2,1.55,6.15
6642,PM10091,2015-08-04 06:30,0.0,0.0,0.0,15,0.9,,6.3
6650,PM10341,2015-08-04 06:30,1140.0,3.0,91.0,15,3.4,12.527472527472527,6.3
6676,PM10981,2015-08-04 06:30,1628.0,3.0,86.0,15,9.8,18.930232558139537,6.3
6679,PM11071,2015-08-04 06:30,1893.0,3.0,93.0,15,10.7,20.35483870967742,6.3
6672,PM10941,2015-08-04 06:30,1156.0,3.0,88.0,15,9.4,13.136363636363637,6.3
6680,PM11101,2015-08-04 06:30,887.0,3.0,83.0,15,11.0,10.686746987951807,6.3
3510,PM12961,2015-08-04 06:30,588.0,2.0,58.0,15,29.6,10.137931034482758,6.3
7130,PM13211,2015-08-04 06:30,323.0,1.0,64.0,15,32.1,5.046875,6.3
6641,PM10021,2015-08-04 06:30,0.0,0.0,0.0,15,0.2,,6.3
3816,PM10901,2015-08-04 06:30,1148.0,3.0,87.0,15,9.0,13.195402298850574,6.3
6685,PM11201,2015-08-04 06:30,1040.0,1.0,85.0,15,12.0,12.235294117647058,6.3
6687,PM11301,2015-08-04 06:30,616.0,1.0,84.0,15,13.0,7.333333333333333,6.3
6689,PM11981,2015-08-04 06:30,1897.0,4.0,79.0,15,19.8,24.0126582278481,6.3
6690,PM12061,2015-08-04 06:30,1740.0,4.0,88.0,15,20.6,19.772727272727273,6.3
6691,PM12121,2015-08-04 06:30,1412.0,3.0,88.0,15,21.2,16.045454545454547,6.3
6692,PM12211,2015-08-04 06:30,1316.0,3.0,91.0,15,22.1,14.461538461538462,6.3
6683,PM11161,2015-08-04 06:30,1080.0,3.0,87.0,15,11.6,12.413793103448276,6.3
6706,PM13041,2015-08-04 06:30,408.0,6.0,73.0,15,30.4,5.589041095890411,6.3
7013,PM13221,2015-08-04 06:45,220.0,5.0,63.0,15,32.2,3.492063492063492,6.45
6693,PM12241,2015-08-04 06:45,2280.0,5.0,86.0,15,22.4,26.511627906976745,6.45
6694,PM12331,2015-08-04 06:45,1500.0,3.0,91.0,15,23.3,16.483516483516482,6.45
6695,PM12391,2015-08-04 06:45,1740.0,3.0,93.0,15,23.9,18.70967741935484,6.45
6698,PM12571,2015-08-04 06:45,556.0,3.0,81.0,15,25.7,6.864197530864198,6.45
6704,PM13011,2015-08-04 06:45,620.0,3.0,68.0,15,30.1,9.117647058823529,6.45
6706,PM13041,2015-08-04 06:45,608.0,9.0,72.0,15,30.4,8.444444444444445,6.45
6708,PM13101,2015-08-04 06:45,777.0,4.0,77.0,15,31.0,10.090909090909092,6.45
6654,PM10401,2015-08-04 06:30,1148.0,2.0,92.0,15,4.0,12.478260869565217,6.3
6644,PM10141,2015-08-04 06:30,1020.0,2.0,95.0,15,1.4,10.736842105263158,6.3
6646,PM10211,2015-08-04 06:30,980.0,2.0,95.0,15,2.1,10.31578947368421,6.3
6648,PM10241,2015-08-04 06:30,979.0,1.0,98.0,15,2.4,9.989795918367347,6.3
6656,PM10441,2015-08-04 06:30,1052.0,2.0,93.0,15,4.4,11.311827956989248,6.3
6661,PM10471,2015-08-04 06:30,1040.0,3.0,91.0,15,4.7,11.428571428571429,6.3
3818,PM10501,2015-08-04 06:30,1040.0,2.0,91.0,15,5.0,11.428571428571429,6.3
3820,PM10561,2015-08-04 06:30,1376.0,4.0,89.0,15,5.6,15.460674157303371,6.3
6693,PM12241,2015-08-04 06:30,1316.0,3.0,85.0,15,22.4,15.48235294117647,6.3
6699,PM12641,2015-08-04 06:30,433.0,1.0,93.0,15,26.4,4.655913978494624,6.3
6695,PM12391,2015-08-04 06:30,968.0,2.0,94.0,15,23.9,10.297872340425531,6.3
6696,PM12471,2015-08-04 06:30,820.0,1.0,90.0,15,24.7,9.11111111111111,6.3
6698,PM12571,2015-08-04 06:30,320.0,1.0,80.0,15,25.7,4.0,6.3
6700,PM12721,2015-08-04 06:30,447.0,1.0,92.0,15,27.2,4.858695652173913,6.3
3801,PM12781,2015-08-04 06:30,468.0,1.0,103.0,15,27.8,4.543689320388349,6.3
6702,PM12921,2015-08-04 06:30,557.0,6.0,55.0,15,29.2,10.127272727272727,6.3
6703,PM12981,2015-08-04 06:30,564.0,3.0,62.0,15,29.8,9.096774193548388,6.3
6704,PM13011,2015-08-04 06:30,468.0,3.0,65.0,15,30.1,7.2,6.3
6708,PM13101,2015-08-04 06:30,560.0,2.0,76.0,15,31.0,7.368421052631579,6.3
6711,PM13181,2015-08-04 06:30,384.0,1.0,82.0,15,31.8,4.682926829268292,6.3
7013,PM13221,2015-08-04 06:30,144.0,2.0,62.0,15,32.2,2.3225806451612905,6.3
6694,PM12331,2015-08-04 06:30,877.0,1.0,93.0,15,23.3,9.43010752688172,6.3
6914,PM12851,2015-08-04 06:30,459.0,4.0,80.0,15,28.5,5.7375,6.3
6639,PM10001,2015-08-04 06:30,953.0,5.0,85.0,15,0.0,11.211764705882352,6.3
6641,PM10021,2015-08-04 06:45,0.0,0.0,0.0,15,0.2,,6.45
6685,PM11201,2015-08-04 06:45,1568.0,3.0,85.0,15,12.0,18.44705882352941,6.45
6687,PM11301,2015-08-04 06:45,964.0,4.0,81.0,15,13.0,11.901234567901234,6.45
6703,PM12981,2015-08-04 06:45,840.0,6.0,63.0,15,29.8,13.333333333333334,6.45
6644,PM10141,2015-08-04 06:45,1392.0,4.0,94.0,15,1.4,14.808510638297872,6.45
3510,PM12961,2015-08-04 06:45,876.0,3.0,60.0,15,29.6,14.6,6.45
6711,PM13181,2015-08-04 06:45,620.0,2.0,81.0,15,31.8,7.654320987654321,6.45
6639,PM10001,2015-08-04 06:45,1265.0,4.0,83.0,15,0.0,15.240963855421686,6.45
6642,PM10091,2015-08-04 06:45,0.0,0.0,0.0,15,0.9,,6.45
6648,PM10241,2015-08-04 06:45,1320.0,4.0,99.0,15,2.4,13.333333333333334,6.45
6696,PM12471,2015-08-04 06:45,1603.0,2.0,90.0,15,24.7,17.81111111111111,6.45
6914,PM12851,2015-08-04 06:45,876.0,4.0,80.0,15,28.5,10.95,6.45
6650,PM10341,2015-08-04 06:45,1532.0,3.0,93.0,15,3.4,16.473118279569892,6.45
3818,PM10501,2015-08-04 06:45,1440.0,3.0,91.0,15,5.0,15.824175824175825,6.45
3820,PM10561,2015-08-04 06:45,2001.0,4.0,91.0,15,5.6,21.98901098901099,6.45
3801,PM12781,2015-08-04 06:45,868.0,2.0,100.0,15,27.8,8.68,6.45
6672,PM10941,2015-08-04 06:45,1624.0,3.0,88.0,15,9.4,18.454545454545453,6.45
7130,PM13211,2015-08-04 06:45,600.0,3.0,71.0,15,32.1,8.450704225352112,6.45
6676,PM10981,2015-08-04 06:45,2265.0,4.0,88.0,15,9.8,25.738636363636363,6.45
6679,PM11071,2015-08-04 06:45,2616.0,4.0,92.0,15,10.7,28.434782608695652,6.45
6680,PM11101,2015-08-04 06:45,1273.0,5.0,84.0,15,11.0,15.154761904761905,6.45
6683,PM11161,2015-08-04 06:45,1537.0,4.0,90.0,15,11.6,17.07777777777778,6.45
6689,PM11981,2015-08-04 06:45,3339.0,8.0,76.0,15,19.8,43.93421052631579,6.45
6690,PM12061,2015-08-04 06:45,3004.0,7.0,85.0,15,20.6,35.34117647058824,6.45
6676,PM10981,2015-08-04 07:00,2748.0,6.0,87.0,15,9.8,31.586206896551722,7.0
6646,PM10211,2015-08-04 06:45,1304.0,3.0,94.0,15,2.1,13.872340425531915,6.45
6654,PM10401,2015-08-04 06:45,1648.0,3.0,92.0,15,4.0,17.91304347826087,6.45
6656,PM10441,2015-08-04 06:45,1480.0,4.0,92.0,15,4.4,16.08695652173913,6.45
6661,PM10471,2015-08-04 06:45,1451.0,4.0,91.0,15,4.7,15.945054945054945,6.45
3816,PM10901,2015-08-04 06:45,1632.0,4.0,87.0,15,9.0,18.75862068965517,6.45
6691,PM12121,2015-08-04 06:45,2612.0,6.0,85.0,15,21.2,30.729411764705883,6.45
6692,PM12211,2015-08-04 06:45,2339.0,5.0,89.0,15,22.1,26.280898876404493,6.45
6699,PM12641,2015-08-04 06:45,804.0,3.0,94.0,15,26.4,8.553191489361701,6.45
6700,PM12721,2015-08-04 06:45,833.0,1.0,95.0,15,27.2,8.76842105263158,6.45
6702,PM12921,2015-08-04 06:45,924.0,6.0,58.0,15,29.2,15.931034482758621,6.45
6642,PM10091,2015-08-04 07:15,0.0,0.0,0.0,15,0.9,,7.15
6644,PM10141,2015-08-04 07:15,2140.0,4.0,95.0,15,1.4,22.526315789473685,7.15
6639,PM10001,2015-08-04 07:15,2004.0,7.0,87.0,15,0.0,23.03448275862069,7.15
3816,PM10901,2015-08-04 07:15,2329.0,5.0,86.0,15,9.0,27.08139534883721,7.15
6683,PM11161,2015-08-04 07:15,2224.0,4.0,90.0,15,11.6,24.711111111111112,7.15
6685,PM11201,2015-08-04 07:15,2256.0,3.0,84.0,15,12.0,26.857142857142858,7.15
6687,PM11301,2015-08-04 07:15,1400.0,6.0,79.0,15,13.0,17.72151898734177,7.15
6689,PM11981,2015-08-04 07:15,5507.0,15.0,70.0,15,19.8,78.67142857142858,7.15
6690,PM12061,2015-08-04 07:15,4984.0,13.0,77.0,15,20.6,64.72727272727273,7.15
6691,PM12121,2015-08-04 07:15,4227.0,9.0,82.0,15,21.2,51.548780487804876,7.15
6648,PM10241,2015-08-04 07:00,1492.0,3.0,100.0,15,2.4,14.92,7.0
6656,PM10441,2015-08-04 07:00,1652.0,4.0,97.0,15,4.4,17.030927835051546,7.0
6914,PM12851,2015-08-04 07:00,1247.0,10.0,79.0,15,28.5,15.784810126582279,7.0
6680,PM11101,2015-08-04 07:00,1624.0,6.0,85.0,15,11.0,19.105882352941176,7.0
6692,PM12211,2015-08-04 07:00,3428.0,7.0,90.0,15,22.1,38.08888888888889,7.0
6687,PM11301,2015-08-04 07:00,1124.0,5.0,83.0,15,13.0,13.542168674698795,7.0
6689,PM11981,2015-08-04 07:00,4469.0,12.0,75.0,15,19.8,59.586666666666666,7.0
6690,PM12061,2015-08-04 07:00,4056.0,10.0,83.0,15,20.6,48.86746987951807,7.0
6691,PM12121,2015-08-04 07:00,3528.0,8.0,85.0,15,21.2,41.50588235294118,7.0
6693,PM12241,2015-08-04 07:00,3381.0,8.0,85.0,15,22.4,39.77647058823529,7.0
6683,PM11161,2015-08-04 07:00,1976.0,5.0,89.0,15,11.6,22.202247191011235,7.0
6685,PM11201,2015-08-04 07:00,1949.0,3.0,85.0,15,12.0,22.929411764705883,7.0
6694,PM12331,2015-08-04 07:00,2392.0,5.0,93.0,15,23.3,25.72043010752688,7.0
6695,PM12391,2015-08-04 07:00,2704.0,6.0,95.0,15,23.9,28.46315789473684,7.0
6699,PM12641,2015-08-04 07:00,1256.0,6.0,94.0,15,26.4,13.361702127659575,7.0
6700,PM12721,2015-08-04 07:00,1300.0,2.0,94.0,15,27.2,13.829787234042554,7.0
3801,PM12781,2015-08-04 07:00,1288.0,5.0,101.0,15,27.8,12.752475247524753,7.0
